,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
154,155,help,v,606887,610.55,0.05,0.01,216544,0.99,82325,78907,113071,67143,51776,83056,75124,54888,662.56,613.52,882.85,532.31,437.59,658.7,617.08,458.2
161,162,start,v,578246,582.31,0.04,0.01,208936,0.98,87038,75260,82273,88170,78507,72642,73626,20730,700.49,585.17,642.38,699.01,663.5,576.11,604.77,173.05
166,167,become,v,561963,565.24,0.01,0.0,211386,0.97,73461,83745,28605,57076,49079,94936,81960,92432,591.22,651.14,223.35,452.5,414.79,752.92,673.23,771.61
169,170,happen,v,552797,556.68,0.01,0.01,174515,0.97,73811,62104,127599,130087,59620,41552,42375,15649,594.03,482.87,996.29,1031.33,503.88,329.54,348.07,130.64
176,177,show,v,536889,540.66,0.04,0.01,204040,0.98,70942,77804,56621,68152,45437,70645,63297,83991,570.94,604.95,442.09,540.31,384.01,560.27,519.93,701.15
180,181,seem,v,522940,526.61,0.02,0.0,186415,0.98,88134,74388,44343,60727,94035,63277,49234,48802,709.31,578.38,346.23,481.44,794.74,501.84,404.41,407.39
181,182,might,v,521992,525.66,0.02,0.0,192317,0.99,73078,69230,63751,58001,79109,65885,52148,60790,588.14,538.28,497.76,459.83,668.59,522.52,428.35,507.47
183,184,hear,v,516483,520.11,0.03,0.01,158612,0.97,51322,49989,117963,99396,112861,35278,33670,16004,413.04,388.68,921.05,788.01,953.85,279.78,276.57,133.6
188,189,believe,v,500511,504.03,0.03,0.01,170687,0.98,81096,72454,87210,89443,45295,43581,46156,35276,652.66,563.35,680.93,709.1,382.81,345.63,379.13,294.48
195,196,play,v,478740,481.38,0.03,0.01,162867,0.98,64862,58518,61940,56797,43443,61613,96924,33926,522.01,454.99,483.62,450.29,367.16,488.64,796.14,283.21
196,197,turn,v,477668,481.02,0.06,0.01,181656,0.96,45766,50579,56931,51933,133716,65150,50471,23122,368.33,393.26,444.51,411.72,1130.1,516.69,414.57,193.02
201,202,run,v,465066,468.33,0.04,0.01,176101,0.98,59607,54473,68973,60518,76486,59096,69288,16625,479.72,423.54,538.54,479.79,646.42,468.68,569.14,138.78
208,209,live,v,450380,453.54,0.05,0.01,165574,0.99,65618,61688,62245,61676,59103,54321,53850,31879,528.1,479.64,486.01,488.97,499.51,430.81,442.33,266.12
211,212,write,v,439865,442.96,0.04,0.0,150771,0.97,76785,77927,32663,51645,37972,56725,51037,55111,617.97,605.9,255.03,409.44,320.92,449.87,419.22,460.06
212,213,bring,v,439445,442.53,0.05,0.01,184504,0.99,52226,53275,71083,66796,58285,52878,51403,33499,420.32,414.23,555.01,529.56,492.6,419.36,422.23,279.65
226,227,move,v,430324,433.35,0.06,0.01,168107,0.99,45742,45931,70987,50695,80938,52124,54417,29490,368.13,357.12,554.26,401.91,684.05,413.38,446.99,246.18
227,228,must,v,427796,430.8,0.03,0.01,150761,0.98,52093,71571,71905,26047,57043,42982,35598,70557,419.25,556.48,561.43,206.5,482.1,340.88,292.41,589.0
231,232,begin,v,421878,424.84,0.05,0.03,174867,0.97,36224,48322,18158,58204,72120,69879,65335,53636,291.53,375.72,141.78,461.44,609.52,554.19,536.67,447.75
232,233,love,v,417532,420.47,0.08,0.02,128045,0.97,69759,58682,118515,56894,45375,36010,25772,6525,561.42,456.27,925.36,451.05,383.49,285.59,211.69,54.47
234,235,hold,v,413837,416.74,0.09,0.01,169960,0.98,41042,46980,61899,40689,85151,49822,50505,37749,330.31,365.28,483.3,322.58,719.65,395.13,414.85,315.13
243,244,read,v,386137,388.85,0.07,0.01,133352,0.96,86101,82295,33276,34984,46429,34611,26043,42398,692.95,639.86,259.82,277.35,392.4,274.49,213.92,353.93
256,257,stop,v,366567,369.14,0.14,0.01,136499,0.98,41298,38902,102386,38725,74090,31089,30069,10008,332.37,302.47,799.43,307.01,626.17,246.56,246.99,83.55
257,258,pay,v,365255,367.82,0.03,0.01,134007,0.97,66035,60111,42230,48228,28360,42534,58201,19556,531.45,467.38,329.73,382.35,239.68,337.33,478.07,163.25
271,272,provide,v,351941,354.41,0.01,0.0,132829,0.93,46940,63676,4879,18255,7292,51072,41616,118211,377.78,495.1,38.1,144.73,61.63,405.04,341.84,986.81
272,273,lose,v,351650,354.12,0.04,0.01,149632,0.99,48747,44017,59664,46364,40948,41389,52171,18350,392.32,342.24,465.85,367.57,346.07,328.25,428.54,153.18
276,277,understand,v,349141,351.59,0.03,0.0,136025,0.99,53070,48704,61923,48090,41531,29364,21360,45099,427.11,378.69,483.49,381.26,351.0,232.88,175.45,376.48
288,289,wait,v,339926,342.31,0.22,0.01,117209,0.96,29283,27578,128735,37072,69259,21822,20259,5918,235.67,214.43,1005.16,293.91,585.34,173.07,166.41,49.4
293,294,meet,v,333954,336.3,0.05,0.01,142926,1.0,31016,35855,70349,42862,44041,36080,40997,32754,249.62,278.78,549.28,339.81,372.21,286.14,336.75,273.43
299,300,thank,v,330129,332.45,0.65,0.01,89181,0.93,28764,23146,135797,105338,20370,6187,5946,4581,231.49,179.97,1060.3,835.12,172.16,49.07,48.84,38.24
303,304,change,v,327637,329.94,0.03,0.01,150374,0.99,51371,49794,39474,47875,30818,39179,36541,32585,413.44,387.16,308.21,379.55,260.46,310.72,300.15,272.02
314,315,watch,v,318772,321.01,0.1,0.01,127390,0.97,38319,32870,51506,48877,76573,32452,31178,6997,308.39,255.57,402.16,387.5,647.16,257.37,256.1,58.41
317,318,sit,v,315022,317.24,0.08,0.02,122356,0.95,25020,26658,47371,36369,106983,34780,28792,9049,201.36,207.27,369.87,288.33,904.17,275.83,236.5,75.54
318,319,create,v,314631,316.84,0.03,0.0,138007,0.96,56728,58186,12196,26867,9619,54229,39415,57391,456.55,452.41,95.23,213.0,81.3,430.08,323.76,479.09
321,322,learn,v,312649,314.85,0.05,0.01,133828,0.97,48042,46203,25920,33050,28390,43799,33066,54179,386.64,359.24,202.38,262.02,239.94,347.36,271.61,452.28
324,325,kill,v,307305,309.46,0.05,0.01,93220,0.98,28888,33915,101848,44757,35060,23406,30494,8937,232.49,263.7,795.22,354.83,296.31,185.63,250.48,74.61
327,328,include,v,304197,306.33,0.02,0.0,138613,0.94,37859,51754,3443,14139,5865,46976,56708,87453,304.69,402.4,26.88,112.09,49.57,372.56,465.8,730.05
328,329,stand,v,303462,305.59,0.05,0.01,126265,0.95,28235,31544,35701,33589,100834,32435,26667,14457,227.24,245.26,278.75,266.29,852.2,257.23,219.05,120.69
331,332,follow,v,300266,302.38,0.09,0.0,149183,0.98,40625,47393,25143,23697,42271,38775,33148,49214,326.95,368.49,196.32,187.87,357.25,307.52,272.28,410.83
333,334,remember,v,298221,300.32,0.15,0.01,119181,0.98,36064,32305,69382,45018,59982,25293,20654,9523,290.24,251.18,541.73,356.9,506.94,200.59,169.65,79.5
336,337,speak,v,295523,297.6,0.05,0.01,125756,0.98,35576,39083,36107,51100,55507,26197,28934,23019,286.32,303.88,281.92,405.12,469.12,207.76,237.67,192.16
338,339,set,v,293144,295.2,0.05,0.01,150470,0.98,34797,41617,27241,27539,40114,48194,43805,29841,280.05,323.58,212.7,218.33,339.02,382.22,359.82,249.11
345,346,allow,v,288559,290.59,0.02,0.0,141816,0.97,48095,47645,14603,27501,18568,41973,42777,47397,387.07,370.45,114.02,218.03,156.93,332.88,351.37,395.67
346,347,win,v,288308,290.33,0.03,0.01,106125,0.96,46055,37355,31897,41989,12199,35544,73822,9447,370.65,290.44,249.05,332.89,103.1,281.89,606.38,78.86
348,349,lead,v,285740,287.75,0.03,0.0,145208,0.97,37094,41288,14380,26994,25757,43547,49221,47459,298.53,321.02,112.28,214.01,217.69,345.36,404.31,396.18
349,350,continue,v,282352,284.34,0.04,0.01,141888,0.97,40915,41537,9684,43420,33374,35961,39356,38105,329.29,322.96,75.61,344.23,282.06,285.2,323.27,318.1
352,353,spend,v,280371,282.34,0.02,0.0,137565,0.98,44051,38112,25732,38282,28553,42966,45494,17181,354.52,296.33,200.91,303.5,241.32,340.75,373.69,143.43
360,361,stay,v,275504,277.44,0.12,0.01,123404,0.98,27267,25784,76159,38604,43687,28463,27606,7934,219.45,200.48,594.65,306.05,369.22,225.73,226.76,66.23
361,362,add,v,275233,277.17,0.13,0.01,136115,0.95,42621,42495,6548,16784,19513,64532,57976,24764,343.02,330.41,51.13,133.06,164.91,511.79,476.22,206.73
370,371,die,v,264537,266.4,0.04,0.01,99409,0.99,22724,29335,63987,31736,45688,28395,30831,11841,182.88,228.09,499.61,251.6,386.13,225.19,253.25,98.85
374,375,buy,v,260201,262.03,0.06,0.01,108421,0.97,45641,36251,34894,28863,27186,40662,39727,6977,367.32,281.86,272.45,228.83,229.76,322.48,326.32,58.24
381,382,send,v,256309,258.11,0.05,0.01,122015,0.99,30763,35887,42453,35580,34300,31266,31528,14532,247.58,279.03,331.47,282.08,289.89,247.96,258.97,121.31
383,384,walk,v,253671,255.45,0.05,0.01,103164,0.95,21846,23552,38453,27898,83650,26531,24616,7125,175.82,183.12,300.24,221.17,706.97,210.41,202.2,59.48
389,390,grow,v,248803,250.55,0.03,0.01,122760,0.98,31165,31258,20103,25829,37571,45953,37794,19130,250.82,243.04,156.96,204.77,317.53,364.44,310.44,159.7
391,392,open,v,247043,248.78,0.08,0.01,117627,0.97,21405,25014,33329,20643,64242,28760,40303,13347,172.27,194.49,260.23,163.66,542.94,228.09,331.05,111.42
394,395,consider,v,244644,246.36,0.08,0.01,124787,0.96,38841,40565,10945,21112,16765,31297,30516,54603,312.59,315.4,85.46,167.38,141.69,248.21,250.66,455.82
412,413,hope,v,235945,237.6,0.05,0.01,122579,0.98,40240,29875,41801,37177,29745,20308,27454,9345,323.85,232.29,326.38,294.74,251.39,161.06,225.51,78.01
417,418,offer,v,234189,235.83,0.01,0.0,122150,0.97,32013,31925,11240,15051,19954,44981,41403,37622,257.64,248.22,87.76,119.32,168.64,356.73,340.09,314.07
424,425,build,v,230071,231.69,0.04,0.0,111042,0.97,34781,31880,15464,22643,17180,43823,39582,24718,279.92,247.87,120.74,179.51,145.2,347.55,325.13,206.34
425,426,expect,v,229855,231.47,0.02,0.0,125625,0.98,33945,32294,19497,28938,24084,27753,39314,24030,273.19,251.09,152.23,229.42,203.55,220.1,322.93,200.6
426,427,fall,v,229161,230.77,0.03,0.01,115257,0.97,25010,29963,27482,19614,53047,29612,28225,16208,201.28,232.97,214.58,155.5,448.33,234.85,231.84,135.3
436,437,appear,v,221287,222.84,0.01,0.0,114874,0.97,26083,35139,8376,17037,28643,34773,29853,41383,209.92,273.21,65.4,135.07,242.08,275.78,245.22,345.46
448,449,serve,v,213511,215.01,0.08,0.02,101964,0.96,24175,28471,9810,16840,11831,43486,43565,35333,194.56,221.37,76.6,133.51,99.99,344.88,357.85,294.96
449,450,break,v,213364,214.86,0.05,0.01,112062,0.99,24160,25913,41113,26774,33869,26322,24908,10305,194.44,201.48,321.01,212.26,286.24,208.75,204.6,86.03
451,452,end,v,212174,213.66,0.09,0.07,117691,0.97,31204,30761,21105,40789,18821,25331,31484,12679,251.13,239.17,164.79,323.37,159.07,200.89,258.61,105.84
456,457,require,v,209616,211.09,0.01,0.0,96762,0.94,30218,39543,4746,10466,6895,31704,27978,58066,243.2,307.46,37.06,82.97,58.27,251.44,229.81,484.73
459,460,listen,v,208819,210.29,0.25,0.01,85732,0.97,18040,17693,74341,32380,35669,12746,10306,7644,145.19,137.57,580.45,256.71,301.46,101.09,84.65,63.81
460,461,agree,v,208506,209.97,0.03,0.0,99513,0.96,44775,34294,15001,38207,15528,17952,24599,18150,360.35,266.64,117.13,302.9,131.24,142.37,202.06,151.51
466,467,cut,v,205886,207.33,0.13,0.06,95917,0.97,22614,21556,27415,25581,35915,35831,29098,7876,182.0,167.6,214.06,202.81,303.54,284.17,239.01,65.75
467,468,decide,v,205447,206.89,0.02,0.0,114381,0.98,31422,29893,19726,31239,27187,25224,25810,14946,252.89,232.43,154.02,247.66,229.77,200.05,212.01,124.77
471,472,pass,v,203033,204.46,0.03,0.0,103389,0.98,24216,28344,18850,24985,39575,25064,27330,14669,194.89,220.38,147.18,198.08,334.47,198.78,224.49,122.46
475,476,eat,v,201315,202.73,0.06,0.01,75748,0.98,25267,24626,43738,15698,38087,30298,15885,7716,203.35,191.47,341.5,124.45,321.89,240.29,130.48,64.41
476,477,report,v,201020,202.43,0.02,0.0,88806,0.94,19975,25856,7383,28307,5686,25809,31224,56780,160.76,201.04,57.65,224.42,48.06,204.69,256.48,473.99
480,481,suggest,v,200560,201.97,0.01,0.0,95759,0.95,24505,26501,8510,16940,11219,30328,19140,63417,197.22,206.05,66.45,134.3,94.82,240.52,157.22,529.4
483,484,sell,v,198982,200.38,0.03,0.01,86812,0.97,29951,24139,22753,21956,15166,33027,41289,10701,241.05,187.69,177.65,174.07,128.18,261.93,339.15,89.33
485,486,support,v,198185,199.58,0.03,0.0,93003,0.95,36369,33896,4869,25415,4566,23328,24623,45119,292.7,263.55,38.02,201.49,38.59,185.01,202.26,376.65
488,489,receive,v,196239,197.62,0.01,0.0,100721,0.96,27529,37041,6861,13464,9387,26877,33299,41781,221.55,288.0,53.57,106.74,79.33,213.16,273.52,348.78
490,491,base,v,195474,196.85,0.08,0.0,96585,0.94,35132,34613,5453,15072,3222,22648,24363,54971,282.74,269.12,42.58,119.49,27.23,179.62,200.12,458.89
491,492,pick,v,195443,196.82,0.06,0.01,101557,0.98,22614,20062,36233,23435,40793,23773,24041,4492,182.0,155.99,282.91,185.79,344.76,188.54,197.48,37.5
495,496,drive,v,194360,195.73,0.05,0.01,95630,0.98,22778,21659,28727,19614,36991,26214,27372,11005,183.32,168.4,224.3,155.5,312.63,207.9,224.84,91.87
497,498,reach,v,193684,195.04,0.02,0.0,106103,0.96,19643,22808,11656,16472,47807,28807,26044,20447,158.09,177.34,91.01,130.59,404.04,228.46,213.93,170.69
498,499,remain,v,193577,194.94,0.01,0.0,108549,0.96,21342,26350,7398,14304,18264,32330,33991,39598,171.76,204.88,57.76,113.4,154.36,256.4,279.21,330.56
499,500,explain,v,193276,194.63,0.03,0.0,101360,0.98,26377,27547,17275,17572,22632,32049,16645,33179,212.28,214.18,134.88,139.31,191.27,254.17,136.72,276.98
501,502,hit,v,192969,194.32,0.05,0.01,94643,0.98,23216,20565,34796,25233,25446,27299,33142,3273,186.84,159.9,271.69,200.05,215.06,216.5,272.23,27.32
502,503,pull,v,192457,193.81,0.06,0.01,89134,0.94,16207,16319,29177,18229,69571,21574,17290,4090,130.43,126.88,227.81,144.52,587.98,171.1,142.02,34.14
511,512,raise,v,190353,191.69,0.03,0.0,101400,0.98,23218,24524,11139,29140,26122,26711,31272,18227,186.86,190.68,86.97,231.02,220.77,211.84,256.87,152.16
541,542,wear,v,177786,179.04,0.03,0.01,78731,0.96,16986,14548,28309,16567,49779,26092,18219,7285,136.7,113.11,221.04,131.34,420.71,206.93,149.65,60.81
544,545,return,v,176787,178.03,0.04,0.0,96145,0.97,16470,24011,13816,14549,33716,24700,32460,17065,132.55,186.69,107.87,115.34,284.95,195.89,266.63,142.46
560,561,choose,v,170716,171.92,0.05,0.01,93806,0.97,31589,30086,13369,14596,14142,25303,18022,23609,254.23,233.93,104.38,115.72,119.52,200.67,148.03,197.09
562,563,cause,v,170629,171.83,0.05,0.0,88913,0.97,26893,31420,15626,16332,11852,27487,17131,23888,216.44,244.3,122.01,129.48,100.17,217.99,140.72,199.41
565,566,join,v,170302,171.5,0.09,0.01,95302,0.95,16190,17397,14645,53457,15868,18926,23240,10579,130.3,135.27,114.35,423.81,134.11,150.1,190.9,88.31
566,567,teach,v,169673,170.87,0.06,0.01,71917,0.96,22091,22529,17566,12934,15322,19430,17717,42084,177.79,175.17,137.15,102.54,129.49,154.09,145.53,351.31
568,569,develop,v,168894,170.08,0.02,0.0,81169,0.93,18757,23337,3915,10471,4578,29338,18375,60123,150.96,181.45,30.57,83.01,38.69,232.67,150.93,501.9
569,570,share,v,168892,170.08,0.08,0.0,95852,0.96,36064,30739,11341,13524,12829,24293,17873,22229,290.24,239.0,88.55,107.22,108.42,192.66,146.81,185.57
571,572,carry,v,168820,170.01,0.02,0.0,92824,0.98,18128,22221,13268,15795,31365,25654,23248,19141,145.9,172.77,103.6,125.22,265.08,203.46,190.96,159.79
595,596,miss,v,162066,163.2,0.06,0.02,85296,0.99,21876,17977,44062,16181,22553,14459,19136,5822,176.06,139.78,344.03,128.28,190.61,114.67,157.18,48.6
598,599,realize,v,161762,162.9,0.01,0.0,90514,0.98,26881,24259,18412,17175,30351,18943,14071,11670,216.34,188.62,143.76,136.16,256.51,150.23,115.58,97.42
599,600,save,v,161469,162.6,0.09,0.01,82098,0.99,23350,24073,35347,16391,16879,21357,17167,6905,187.92,187.17,275.99,129.95,142.65,169.38,141.01,57.64
602,603,catch,v,160594,161.72,0.04,0.01,86139,0.97,15635,15367,27698,15882,41617,19286,18710,6399,125.83,119.48,216.26,125.91,351.73,152.95,153.69,53.42
607,608,cover,v,159606,160.73,0.05,0.0,89143,0.98,18851,20972,13874,18699,22963,28559,22449,13239,151.71,163.06,108.33,148.25,194.07,226.49,184.4,110.52
608,609,describe,v,159521,160.64,0.02,0.0,81551,0.94,17718,25573,4270,15796,7866,20583,18065,49650,142.6,198.84,33.34,125.23,66.48,163.24,148.39,414.47
609,610,guess,v,159454,160.57,0.09,0.01,74761,0.96,21706,15355,57719,28378,23413,5878,5453,1552,174.69,119.39,450.67,224.98,197.88,46.62,44.79,12.96
620,621,face,v,156455,157.55,0.05,0.01,95509,0.98,19135,19547,9887,21625,18943,22287,27146,17885,154.0,151.98,77.2,171.44,160.1,176.75,222.98,149.3
622,623,check,v,155591,156.68,0.17,0.01,81879,0.98,22755,21568,40057,14403,21336,18196,11806,5470,183.13,167.7,312.76,114.19,180.32,144.31,96.98,45.66
624,625,fight,v,154643,155.73,0.04,0.01,75561,0.99,21562,19694,26940,25113,17004,17662,19127,7542,173.53,153.13,210.35,199.1,143.71,140.07,157.11,62.96
628,629,produce,v,154082,155.16,0.01,0.0,76157,0.95,20278,24410,3137,10078,6222,32390,19459,38108,163.2,189.79,24.49,79.9,52.59,256.88,159.84,318.12
634,635,throw,v,152388,153.46,0.05,0.01,81552,0.98,20675,18121,26425,16257,30550,15498,20530,4332,166.39,140.9,206.33,128.89,258.19,122.91,168.64,36.16
636,637,care,v,152255,153.32,0.03,0.01,76051,0.98,26281,21358,37414,17580,20025,11918,11291,6388,211.51,166.06,292.13,139.37,169.24,94.52,92.75,53.33
656,657,shoot,v,147137,148.17,0.06,0.01,63165,0.98,13592,13920,36079,19837,21632,17802,21170,3105,109.39,108.23,281.7,157.27,182.82,141.18,173.89,25.92
664,665,forget,v,145557,146.58,0.12,0.01,77666,0.98,18314,16668,43765,13726,26873,12248,9340,4623,147.39,129.6,341.72,108.82,227.12,97.14,76.72,38.59
667,668,focus,v,144896,145.91,0.05,0.01,83253,0.96,21261,20075,6486,16944,7663,18897,17078,36492,171.11,156.09,50.64,134.33,64.76,149.87,140.28,304.63
673,674,point,v,143750,144.76,0.02,0.0,82724,0.97,22985,20264,5261,16905,24593,19215,16886,17641,184.98,157.56,41.08,134.02,207.85,152.39,138.7,147.27
689,690,note,v,139111,140.09,0.17,0.02,75787,0.94,20136,25198,1657,4618,5811,22846,18193,40652,162.06,195.92,12.94,36.61,49.11,181.19,149.44,339.36
696,697,sound,v,138386,139.36,0.12,0.01,76475,0.98,19775,16770,31879,17565,26759,12759,9075,3804,159.15,130.39,248.91,139.25,226.15,101.19,74.54,31.76
697,698,deal,v,138197,139.17,0.04,0.0,79163,0.97,20750,18788,15346,28954,8314,13811,16777,15457,167.0,146.08,119.82,229.55,70.27,109.53,137.81,129.03
700,701,increase,v,137709,138.68,0.02,0.0,66980,0.94,19523,22222,2356,8950,2493,21241,17000,43924,157.12,172.78,18.4,70.96,21.07,168.46,139.64,366.67
711,712,close,v,136431,137.39,0.08,0.02,74403,0.96,12373,13032,19180,14342,39880,12822,18596,6205,99.58,101.33,149.76,113.7,337.05,101.69,152.75,51.8
716,717,lie,v,135712,136.67,0.05,0.01,67260,0.98,15800,16098,29553,14470,26080,15837,8642,9231,127.16,125.17,230.75,114.72,220.42,125.6,70.99,77.06
720,721,draw,v,135022,135.97,0.04,0.0,78777,0.97,13547,16565,8431,10320,25840,20489,18744,21086,109.03,128.8,65.83,81.82,218.39,162.49,153.96,176.02
721,722,plan,v,135011,135.96,0.06,0.01,85326,0.98,18696,17512,13189,13724,11168,19863,27153,13706,150.47,136.16,102.98,108.8,94.39,157.53,223.04,114.42
722,723,drop,v,134220,135.16,0.06,0.01,78950,0.98,14001,13772,22105,12146,29580,18300,17697,6619,112.68,107.08,172.59,96.29,250.0,145.13,145.36,55.25
723,724,push,v,134206,135.15,0.05,0.01,77946,0.97,16481,14762,14405,16005,31073,18024,17325,6131,132.64,114.78,112.47,126.89,262.61,142.94,142.31,51.18
736,737,wonder,v,131649,132.57,0.03,0.0,74181,0.96,20477,16170,18658,16406,35095,11093,9696,4054,164.8,125.73,145.68,130.07,296.61,87.98,79.64,33.84
737,738,involve,v,131275,132.2,0.01,0.0,76253,0.96,16710,18866,6882,16118,5371,15925,17183,34219,134.48,146.69,53.73,127.78,45.39,126.3,141.14,285.66
749,750,enjoy,v,129575,130.49,0.07,0.01,78092,0.97,25965,23031,15287,10001,12939,18848,14268,9236,208.97,179.07,119.36,79.29,109.35,149.48,117.2,77.1
755,756,seek,v,128234,128.45,0.03,0.0,73009,0.95,15541,19615,4213,8371,7412,17480,24324,30594,125.07,152.51,32.89,66.37,62.64,138.63,199.8,255.4
768,769,protect,v,126672,127.56,0.04,0.01,68241,0.98,16520,17756,15568,17832,8320,18727,15728,16224,132.95,138.06,121.55,141.37,70.32,148.52,129.19,135.44
775,776,represent,v,125330,126.21,0.01,0.0,65850,0.94,14055,18676,4398,10793,3137,14392,18857,41022,113.12,145.21,34.34,85.57,26.51,114.14,154.89,342.45
776,777,fill,v,125249,126.13,0.04,0.0,78021,0.97,14644,16012,10470,8845,29057,20574,17078,8568,117.86,124.5,81.75,70.12,245.58,163.17,140.28,71.52
777,778,state,v,125064,125.94,0.12,0.01,62715,0.94,23208,24825,2780,8418,2800,11038,18884,33111,186.78,193.02,21.71,66.74,23.66,87.54,155.11,276.41
778,779,place,v,124900,125.78,0.1,0.01,72856,0.96,13264,17091,6888,6414,16975,23881,17783,22604,106.75,132.89,53.78,50.85,143.46,189.39,146.07,188.7
780,781,fail,v,124675,125.55,0.03,0.01,72233,0.97,21389,21269,8599,11026,9471,15733,18608,18580,172.14,165.37,67.14,87.41,80.04,124.77,152.85,155.1
797,798,vote,v,121578,122.43,0.04,0.01,40071,0.93,34531,25555,5703,26517,1477,7203,16833,3759,277.91,198.7,44.53,210.23,12.48,57.13,138.27,31.38
799,800,compare,v,120978,121.83,0.08,0.0,65231,0.94,18257,19839,3038,7718,3928,16204,13666,38328,146.93,154.25,23.72,61.19,33.2,128.51,112.25,319.96
804,805,identify,v,120690,121.54,0.03,0.0,57210,0.91,10656,16194,3771,7719,3855,14683,11649,52163,85.76,125.91,29.44,61.2,32.58,116.45,95.69,435.45
808,809,reduce,v,120399,121.24,0.04,0.0,59705,0.94,15974,17880,1436,8281,2384,24762,16296,33386,128.56,139.02,11.21,65.65,20.15,196.38,133.86,278.7
812,813,act,v,119650,120.49,0.07,0.01,70265,0.98,17007,18998,14709,14408,10219,14131,12940,17238,136.87,147.71,114.85,114.23,86.37,112.07,106.29,143.9
814,815,worry,v,119256,120.09,0.02,0.01,69126,0.98,11881,9888,37516,16382,17408,11153,11758,3270,95.62,76.88,292.92,129.88,147.12,88.45,96.58,27.3
815,816,accept,v,119245,120.08,0.03,0.0,68613,0.98,19230,20167,9677,12414,10951,13629,14573,18604,154.76,156.8,75.56,98.42,92.55,108.09,119.7,155.3
816,817,enter,v,119119,119.96,0.06,0.01,70638,0.97,12979,18848,7319,7483,21841,16854,16693,17102,104.46,146.55,57.15,59.33,184.59,133.67,137.12,142.77
817,818,mention,v,119033,119.87,0.01,0.0,70303,0.97,25407,21336,10995,19080,11427,9899,7951,12938,204.48,165.89,85.85,151.27,96.58,78.51,65.31,108.01
825,826,wish,v,116884,117.71,0.04,0.01,66269,0.98,18808,18264,24504,10689,22015,7865,6656,8083,151.37,142.01,191.33,84.74,186.06,62.38,54.67,67.48
831,832,determine,v,116138,116.95,0.02,0.0,63966,0.93,12330,19942,3367,8546,5083,14591,12284,39995,99.23,155.05,26.29,67.75,42.96,115.72,100.9,333.87
833,834,claim,v,116020,116.84,0.02,0.0,64062,0.96,21963,20743,5038,12654,7979,16551,14681,16411,176.76,161.28,39.34,100.32,67.43,131.26,120.59,137.0
834,835,answer,v,115956,116.77,0.07,0.01,64371,0.97,13758,16893,14735,15474,25890,10275,8579,10352,110.73,131.35,115.05,122.68,218.81,81.49,70.47,86.42
835,836,prove,v,115910,116.72,0.02,0.01,70810,0.98,19101,18848,12965,11972,8956,17274,13775,13019,153.73,146.55,101.23,94.91,75.69,137.0,113.15,108.68
842,843,hang,v,114959,115.77,0.11,0.01,63476,0.96,9145,9097,28403,9713,32719,13110,9781,2992,73.6,70.73,221.77,77.0,276.52,103.97,80.34,24.98
846,847,argue,v,114425,115.23,0.01,0.0,57765,0.95,16885,15742,4094,11408,6694,13741,14320,31541,135.89,122.4,31.97,90.44,56.57,108.98,117.63,263.3
858,859,occur,v,112575,113.37,0.0,0.0,60086,0.94,13223,19262,3149,9319,7006,14989,9805,35822,106.42,149.77,24.59,73.88,59.21,118.87,80.54,299.04
859,860,imagine,v,112572,113.36,0.13,0.0,66416,0.97,17437,14365,12970,13870,26016,12995,7394,7525,140.33,111.69,101.27,109.96,219.87,103.06,60.74,62.82
864,865,present,v,111731,112.52,0.02,0.0,61429,0.93,13630,17285,4136,7695,4565,11924,12301,40195,109.69,134.4,32.29,61.01,38.58,94.57,101.04,335.54
865,866,figure,v,111647,112.43,0.06,0.0,67592,0.99,15680,13240,25992,13464,16183,11617,9867,5604,126.19,102.94,202.94,106.74,136.77,92.13,81.05,46.78
868,869,laugh,v,111440,112.22,0.1,0.05,47357,0.93,8311,9451,22959,9483,43682,8977,6900,1677,66.89,73.48,179.26,75.18,369.18,71.19,56.68,14.0
872,873,discuss,v,111181,111.96,0.02,0.0,64334,0.96,16880,17009,7234,12230,6366,9963,12794,28705,135.85,132.25,56.48,96.96,53.8,79.01,105.09,239.63
873,874,finish,v,111094,111.87,0.04,0.01,66102,0.98,12619,12624,20848,8909,21969,12740,18024,3361,101.56,98.15,162.78,70.63,185.67,101.04,148.05,28.06
878,879,recognize,v,110405,111.18,0.03,0.0,64742,0.96,13770,15566,6933,9885,13658,13039,9976,27578,110.82,121.03,54.13,78.37,115.43,103.41,81.94,230.22
879,880,apply,v,110328,111.1,0.04,0.0,57222,0.94,17331,23913,3147,6970,4113,16253,10056,28545,139.48,185.93,24.57,55.26,34.76,128.9,82.6,238.29
880,881,prepare,v,110266,111.04,0.06,0.01,69400,0.98,12996,14902,10026,13543,10438,16441,15715,16205,104.59,115.87,78.28,107.37,88.22,130.39,129.08,135.28
886,887,name,v,109851,110.62,0.04,0.0,69507,0.98,11495,14125,12502,12699,14203,17191,19867,7769,92.51,109.83,97.62,100.68,120.04,136.34,163.19,64.85
889,890,rise,v,109035,109.8,0.07,0.01,61093,0.96,10895,13365,4909,8896,25501,18516,17716,9237,87.68,103.92,38.33,70.53,215.52,146.85,145.52,77.11
892,893,force,v,107636,108.39,0.02,0.0,68004,0.97,18126,16915,6537,10971,12901,14185,17580,10421,145.88,131.52,51.04,86.98,109.03,112.5,144.4,86.99
