,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
4573,4574,conceive,v,13868,13.97,0.02,0.0,9608,0.94,1519,2736,664,695,1105,2029,1167,3953,12.22,21.27,5.18,5.51,9.34,16.09,9.59,33.0
4574,4575,opt,v,13862,13.96,0.04,0.01,11149,0.94,2611,2096,175,766,607,3284,2678,1645,21.01,16.3,1.37,6.07,5.13,26.04,22.0,13.73
4575,4576,descend,v,13861,13.96,0.03,0.01,10332,0.94,1107,1800,746,707,4582,2434,1315,1170,8.91,14.0,5.82,5.61,38.72,19.3,10.8,9.77
4581,4582,stem,v,13809,13.91,0.06,0.03,11263,0.94,1521,1765,223,952,410,2676,2652,3610,12.24,13.72,1.74,7.55,3.47,21.22,21.78,30.14
4583,4584,preach,v,13805,13.9,0.05,0.0,8390,0.95,2543,3363,961,1161,825,2009,1601,1342,20.47,26.15,7.5,9.2,6.97,15.93,13.15,11.2
4584,4585,interfere,v,13797,13.89,0.01,0.0,10810,0.97,1441,2057,1645,1553,1299,2050,1298,2454,11.6,15.99,12.84,12.31,10.98,16.26,10.66,20.49
4590,4591,survey,v,13766,13.86,0.04,0.0,10613,0.94,1022,1389,188,716,2032,2482,2044,3893,8.23,10.8,1.47,5.68,17.17,19.68,16.79,32.5
4593,4594,position,v,13750,13.85,0.06,0.0,11137,0.96,1631,1715,424,886,1519,3040,1655,2880,13.13,13.33,3.31,7.02,12.84,24.11,13.59,24.04
4603,4604,spare,v,13687,13.78,0.08,0.01,11399,0.97,1404,1624,2646,869,3003,1838,1436,867,11.3,12.63,20.66,6.89,25.38,14.58,11.8,7.24
4607,4608,diminish,v,13670,13.77,0.01,0.0,11317,0.95,1718,1917,314,1274,1065,2162,1705,3515,13.83,14.91,2.45,10.1,9.0,17.15,14.01,29.34
4618,4619,delete,v,13618,13.71,0.14,0.08,7373,0.92,3580,4105,902,1640,583,1347,604,857,28.81,31.92,7.04,13.0,4.93,10.68,4.96,7.15
4620,4621,clarify,v,13616,13.71,0.02,0.0,10567,0.94,2676,2285,446,1340,590,1233,968,4078,21.54,17.77,3.48,10.62,4.99,9.78,7.95,34.04
4640,4641,comply,v,13533,13.63,0.01,0.0,8727,0.93,1673,3286,449,1624,671,1187,2061,2582,13.46,25.55,3.51,12.88,5.67,9.41,16.93,21.55
4644,4645,drill,v,13524,13.62,0.09,0.02,7136,0.94,2087,1975,1027,1562,1019,2540,2399,915,16.8,15.36,8.02,12.38,8.61,20.14,19.71,7.64
4647,4648,reward,v,13495,13.59,0.02,0.0,11026,0.97,2312,2196,744,1193,930,2381,1890,1849,18.61,17.07,5.81,9.46,7.86,18.88,15.52,15.44
4650,4651,grasp,v,13477,13.57,0.03,0.0,10584,0.95,1901,1933,470,477,3576,2059,1006,2055,15.3,15.03,3.67,3.78,30.22,16.33,8.26,17.15
4653,4654,heat,v,13463,13.56,0.14,0.0,9612,0.94,1445,1399,862,895,1572,4050,2371,869,11.63,10.88,6.73,7.1,13.29,32.12,19.48,7.25
4654,4655,classify,v,13459,13.55,0.01,0.0,8893,0.91,1308,1982,623,817,406,1436,952,5935,10.53,15.41,4.86,6.48,3.43,11.39,7.82,49.54
4655,4656,enact,v,13451,13.55,0.02,0.01,8851,0.93,1875,2533,148,1014,255,1457,2009,4160,15.09,19.69,1.16,8.04,2.16,11.56,16.5,34.73
4657,4658,scatter,v,13444,13.54,0.06,0.0,10616,0.94,785,1342,651,604,4255,2611,1621,1575,6.32,10.43,5.08,4.79,35.96,20.71,13.32,13.15
4659,4660,time,v,13440,13.53,0.02,0.0,11773,0.99,2172,2087,2048,1316,1555,1661,1308,1293,17.48,16.23,15.99,10.43,13.14,13.17,10.74,10.79
4661,4662,slice,v,13431,13.53,0.09,0.01,8403,0.89,752,666,859,482,2349,5424,2659,240,6.05,5.18,6.71,3.82,19.85,43.02,21.84,2.0
4671,4672,blend,v,13390,13.48,0.07,0.0,9651,0.92,1141,1109,702,564,1267,4924,2349,1334,9.18,8.62,5.48,4.47,10.71,39.05,19.29,11.14
4691,4692,object,v,13303,13.4,0.03,0.01,9880,0.97,1830,2228,827,1614,1610,1463,1675,2056,14.73,17.32,6.46,12.8,13.61,11.6,13.76,17.16
4692,4693,tolerate,v,13298,13.39,0.01,0.0,10617,0.97,2188,1891,973,1357,1400,1994,1431,2064,17.61,14.7,7.6,10.76,11.83,15.81,11.75,17.23
4693,4694,trail,v,13296,13.39,0.13,0.01,10253,0.93,992,1207,448,622,3889,2726,2998,414,7.98,9.38,3.5,4.93,32.87,21.62,24.63,3.46
4694,4695,drown,v,13296,13.39,0.04,0.01,9970,0.96,1173,1510,2674,1218,3848,1353,1061,459,9.44,11.74,20.88,9.66,32.52,10.73,8.72,3.83
4704,4705,sail,v,13257,13.35,0.07,0.01,8445,0.95,939,1368,1757,802,3352,2494,1726,819,7.56,10.64,13.72,6.36,28.33,19.78,14.18,6.84
4710,4711,instruct,v,13240,13.33,0.02,0.0,10453,0.96,1263,2060,760,738,2024,1805,1434,3156,10.16,16.02,5.93,5.85,17.11,14.32,11.78,26.35
4715,4716,gasp,v,13228,13.32,0.29,0.21,7396,0.89,421,636,5775,227,5014,675,383,97,3.39,4.95,45.09,1.8,42.38,5.35,3.15,0.81
4718,4719,excite,v,13219,13.31,0.02,0.0,11289,0.97,2434,2032,1432,1745,1296,1771,1694,815,19.59,15.8,11.18,13.83,10.95,14.05,13.91,6.8
4729,4730,flood,v,13171,13.26,0.05,0.01,10047,0.97,1817,1680,946,1489,2408,1824,2006,1001,14.62,13.06,7.39,11.8,20.35,14.47,16.48,8.36
4736,4737,divorce,v,13133,13.23,0.05,0.01,9487,0.98,1366,1506,1874,1865,1839,1895,1740,1048,10.99,11.71,14.63,14.79,15.54,15.03,14.29,8.75
4737,4738,spring,v,13122,13.21,0.05,0.01,10993,0.95,1014,1580,975,684,3748,2286,1894,941,8.16,12.28,7.61,5.42,31.68,18.13,15.56,7.86
4738,4739,bang,v,13122,13.21,0.12,0.02,9482,0.95,1114,993,3785,1039,3819,1215,962,195,8.97,7.72,29.55,8.24,32.28,9.64,7.9,1.63
